"","100","75","50","40","30","25","20","15","10"
"1",1,1,1,1,1,1,1,1,1
"2",1,1,1,1,1,1,1,1,1
"3",1,1,1,1,1,1,1,1,1
"4",1,1,1,1,1,1,1,1,1
"5",1,1,1,1,1,0,1,0,1
"6",1,1,1,1,1,1,0,1,0
"7",0,0,0,0,0,0,0,0,0
"8",1,1,1,1,1,1,1,1,1
"9",1,1,1,1,1,1,1,0,0
"10",0,0,0,0,0,0,0,0,0
"11",1,1,1,1,1,1,1,1,1
"12",1,1,1,1,1,1,1,1,1
"13",1,1,1,1,1,1,1,1,1
"14",1,1,1,1,1,1,1,1,1
"15",0,0,0,1,0,0,0,0,0
"16",0,1,0,0,0,0,0,0,0
"17",1,1,0,0,0,0,0,0,0
"18",1,1,1,1,1,1,1,1,1
"19",1,1,1,1,0,0,0,0,0
"20",1,1,1,1,1,1,1,1,1
"21",1,1,1,1,1,1,1,1,0
"22",1,1,1,1,1,1,1,1,1
"23",1,1,1,1,1,1,1,1,1
"24",1,1,1,1,0,1,0,0,0
"25",1,1,1,1,1,1,1,1,1
"26",1,1,1,1,1,1,1,0,1
"27",1,0,1,1,0,0,0,0,0
"28",1,1,1,1,1,1,1,1,1
"29",1,1,1,0,1,0,0,1,0
"30",1,1,1,1,1,1,1,0,1
"31",1,1,1,1,1,1,0,1,0
"32",1,1,1,1,1,1,1,0,0
"33",1,1,1,1,1,0,0,0,0
"34",1,1,1,1,1,1,1,1,0
"35",1,1,1,1,1,1,1,1,0
"36",1,1,1,1,1,1,1,1,1
"37",1,1,1,1,1,0,1,0,1
"38",1,1,1,1,1,1,1,0,1
"39",0,0,0,0,0,0,0,0,0
"40",1,1,1,1,1,1,1,0,1
"41",1,1,1,1,1,1,1,1,1
"42",1,1,1,1,1,1,1,1,0
"43",1,1,1,1,1,1,1,1,1
"44",1,1,1,1,1,1,1,1,1
"45",1,1,0,0,0,0,0,0,0
"46",1,1,0,1,0,0,1,0,0
"47",1,1,1,1,1,0,0,0,0
"48",1,1,1,1,1,1,1,1,0
"49",1,1,1,1,1,1,1,0,0
"50",1,1,1,1,1,1,1,1,0
"51",1,1,1,1,1,1,1,1,1
"52",1,1,1,1,1,1,1,1,1
"53",1,1,1,1,1,1,1,1,1
"54",1,1,1,1,1,1,1,1,1
